DATE,DEXRSA
1991-01-01,58.420805575980005
1991-02-01,58.132122797438
1991-03-01,58.153972290979006
1991-04-01,58.215093505422004
1991-05-01,58.513590132416
1991-06-01,58.805506810130005
1991-07-01,59.04030804543
1991-08-01,59.194733380454
1991-09-01,59.291017423580996
1991-10-01,59.540291451383
1991-11-01,59.629448241186
1991-12-01,59.756322425949
1992-01-01,59.74894726612099
1992-02-01,59.84426990089501
1992-03-01,60.076546336119
1992-04-01,60.532636967719
1992-05-01,60.777587462650004
1992-06-01,60.836953400885
1992-07-01,60.895727017282
1992-08-01,61.054677458561
1992-09-01,61.254502233904
1992-10-01,61.244375303717
1992-11-01,61.271618349264
1992-12-01,61.422945115022
1993-01-01,61.564205465858
1993-02-01,61.680515614023
1993-03-01,61.696940206331995
1993-04-01,61.932130620177
1993-05-01,62.246200696809
1993-06-01,62.674786245909004
1993-07-01,62.960126189789
1993-08-01,63.229618513241995
1993-09-01,63.397897094875
1993-10-01,63.770559628852
1993-11-01,64.176451529002
1993-12-01,64.386750570849
1994-01-01,64.526662506791
1994-02-01,64.66029521884
1994-03-01,65.083993103251
1994-04-01,65.25624466541
1994-05-01,65.619987110923
1994-06-01,65.958582512534
1994-07-01,66.375290050831
1994-08-01,66.72946192326
1994-09-01,67.035788968094
1994-10-01,67.31937272488001
1994-11-01,67.497472593214
1994-12-01,67.938323772579
1995-01-01,68.973288693464
1995-02-01,70.825484838537
1995-03-01,70.738984336835
1995-04-01,70.189054563209
1995-05-01,70.27200390477199
1995-06-01,70.560580458351
1995-07-01,70.90704425701199
1995-08-01,71.367546335135
1995-09-01,71.937529279137
1995-10-01,72.392413925378
1995-11-01,72.89168385624501
1995-12-01,73.205573437377
1996-01-01,73.582338549157
1996-02-01,74.150437486412
1996-03-01,74.70568814984101
1996-04-01,75.408583154478
1996-05-01,75.96535480588
1996-06-01,76.50940238084699
1996-07-01,77.035771476498
1996-08-01,77.594838255887
1996-09-01,78.020511582562
1996-10-01,78.584696359254
1996-11-01,78.956569113667
1996-12-01,79.17055386006099
1997-01-01,79.347641910018
1997-02-01,79.236396892842
1997-03-01,80.247435749597
1997-04-01,80.974670438271
1997-05-01,81.727976983771
1997-06-01,82.220285717216
1997-07-01,82.51900772153
1997-08-01,82.83688462354
1997-09-01,83.480352001838
1997-10-01,83.998812038849
1997-11-01,84.50289025911701
1997-12-01,84.75410870226901
1998-01-01,85.18361346106
1998-02-01,85.743228397781
1998-03-01,86.27929730692301
1998-04-01,86.950354834902
1998-05-01,87.58516343364201
1998-06-01,88.05693387855601
1998-07-01,88.473730257279
1998-08-01,89.011992821373
1998-09-01,89.44571737787201
1998-10-01,89.97719427909
1998-11-01,90.628735571829
1998-12-01,91.504575913536
1999-01-01,92.433566858289
1999-02-01,93.05841653422199
1999-03-01,93.484669993993
1999-04-01,93.628538666253
1999-05-01,94.215848242113
1999-06-01,94.887174099451
1999-07-01,95.861369231902
1999-08-01,96.58897305215099
1999-09-01,97.410244034513
1999-10-01,98.005089241976
1999-11-01,98.667938086467
1999-12-01,99.477957155218
2000-01-01,100.14562492216
2000-02-01,100.876063750733
2000-03-01,101.37434050614
2000-04-01,101.764303364565
2000-05-01,102.57836762814699
2000-06-01,103.275347627805
2000-07-01,103.991880074707
2000-08-01,104.226072876679
2000-09-01,104.652181311681
2000-10-01,105.06157112843
2000-11-01,106.094649401225
2000-12-01,106.67943033896299
2001-01-01,107.32720784643
2001-02-01,107.50492309
2001-03-01,108.041081123799
2001-04-01,108.39036974432501
2001-05-01,108.849526780332
2001-06-01,109.14206685181802
2001-07-01,109.66103782373101
2001-08-01,110.412811853097
2001-09-01,110.852825915404
2001-10-01,111.102963634727
2001-11-01,110.931491481262
2001-12-01,111.25094644001801
2002-01-01,111.46855038296499
2002-02-01,112.152837978421
2002-03-01,112.33533774057399
2002-04-01,112.320434423632
2002-05-01,112.81800416879999
2002-06-01,113.376891849839
2002-07-01,114.032652640524
2002-08-01,114.545459419584
2002-09-01,114.79711738461799
2002-10-01,114.877890644142
2002-11-01,115.52709747237301
2002-12-01,115.60683764076599
2003-01-01,115.704200327526
2003-02-01,115.343751036599
2003-03-01,116.170702608038
2003-04-01,117.11937581893801
2003-05-01,118.10771656293998
2003-06-01,117.839074781714
2003-07-01,117.79457949191799
2003-08-01,117.831859162929
2003-09-01,118.129138675812
2003-10-01,118.79795172325399
2003-11-01,119.11395232504
2003-12-01,119.440955308712
2004-01-01,119.772724284261
2004-02-01,120.00502341832
2004-03-01,120.950256210084
2004-04-01,121.378231194867
2004-05-01,122.16738048437901
2004-06-01,121.80428760471399
2004-07-01,121.600410166046
2004-08-01,121.60446482294701
2004-09-01,121.799781718569
2004-10-01,122.111493470838
2004-11-01,122.437979626054
2004-12-01,122.701700037302
2005-01-01,123.264834405381
2005-02-01,123.956723762076
2005-03-01,124.76310545511002
2005-04-01,125.538695608194
2005-05-01,126.49999090684601
2005-06-01,125.86196618528601
2005-07-01,125.263992232749
2005-08-01,124.67646188896099
2005-09-01,124.65458753954701
2005-10-01,125.121347961473
2005-11-01,125.68497139757099
2005-12-01,126.34381039188801
2006-01-01,126.872705985872
2006-02-01,127.30062398938999
2006-03-01,127.869672285641
2006-04-01,126.023163190014
2006-05-01,125.31851660792101
2006-06-01,123.757614641077
2006-07-01,122.626995545215
2006-08-01,121.59047635158998
2006-09-01,120.62635619784099
2006-10-01,120.34637859508499
2006-11-01,119.842045859929
2006-12-01,118.65442864599501
2007-01-01,118.163913579095
2007-02-01,117.881728955997
2007-03-01,118.590972153277
