DATE,POXRSA
1987-01-01,41.304891231601
1987-02-01,41.444214554768
1987-03-01,41.415249417728
1987-04-01,41.27378560428
1987-05-01,41.395046412498004
1987-06-01,41.433399078254
1987-07-01,41.557098789442
1987-08-01,41.599282255807
1987-09-01,41.541078719690006
1987-10-01,41.629336419661996
1987-11-01,41.574155664859
1987-12-01,41.802696838757
1988-01-01,41.838682979943
1988-02-01,41.657335886135996
1988-03-01,42.243793248726
1988-04-01,42.425377929775
1988-05-01,42.743660872877
1988-06-01,42.709410041071
1988-07-01,42.841844452624
1988-08-01,43.198507160663006
1988-09-01,43.429700318725004
1988-10-01,43.744456768309995
1988-11-01,43.950578639704
1988-12-01,44.212291339018
1989-01-01,44.481171972073
1989-02-01,44.796596084471
1989-03-01,45.004700472104
1989-04-01,45.35005245931
1989-05-01,45.61278010003
1989-06-01,46.019388291228
1989-07-01,46.255814049041994
1989-08-01,46.586600194825
1989-09-01,46.929072982164
1989-10-01,47.351560618403
1989-11-01,47.756722380642
1989-12-01,48.714015217724
1990-01-01,49.645337478361995
1990-02-01,50.571390045517
1990-03-01,50.767786313339
1990-04-01,51.461537594519996
1990-05-01,52.071306067897
1990-06-01,53.38523254209001
1990-07-01,54.432991198263
1990-08-01,55.562768853170994
1990-09-01,56.634594753166
1990-10-01,57.010465342940996
1990-11-01,57.093251426568
1990-12-01,56.823525259647
1991-01-01,56.778694524312
1991-02-01,57.321704528362
1991-03-01,58.625075562569
1991-04-01,58.765470472559
1991-05-01,59.065484740782004
1991-06-01,59.329092329151
1991-07-01,59.577880333643996
1991-08-01,59.719241457977
1991-09-01,59.809314940256
1991-10-01,60.290479102177
1991-11-01,60.381008309354
1991-12-01,61.22188030671099
1992-01-01,61.666680382771
1992-02-01,61.985832395489
1992-03-01,62.167276291172
1992-04-01,62.123157001773
1992-05-01,62.371429616346
1992-06-01,62.474188005883995
1992-07-01,62.58637339113001
1992-08-01,63.060283566817
1992-09-01,63.491011587618
1992-10-01,63.940147254683
1992-11-01,64.66505661062101
1992-12-01,64.925166947371
1993-01-01,65.219896555858
1993-02-01,65.422030306918
1993-03-01,65.8619026909
1993-04-01,66.560484500375
1993-05-01,67.086619088566
1993-06-01,67.76477241311599
1993-07-01,68.174088752358
1993-08-01,68.229644616728
1993-09-01,68.681502064677
1993-10-01,69.223913997268
1993-11-01,70.117533353688
1993-12-01,70.66135087807
1994-01-01,71.118141051783
1994-02-01,71.58886564719
1994-03-01,72.230672440423
1994-04-01,72.733522651355
1994-05-01,73.422024067801
1994-06-01,73.864562354489
1994-07-01,74.55253829415999
1994-08-01,75.07775218669
1994-09-01,75.625895861779
1994-10-01,75.820544526308
1994-11-01,76.083675802603
1994-12-01,76.321908557136
1995-01-01,77.15882754300999
1995-02-01,77.552906278168
1995-03-01,78.400703777796
1995-04-01,78.157370463327
1995-05-01,78.404016516958
1995-06-01,79.15786432333701
1995-07-01,79.898241793306
1995-08-01,80.910262395126
1995-09-01,81.248105896507
1995-10-01,81.778108217155
1995-11-01,81.973384184588
1995-12-01,82.681422179931
1996-01-01,83.196208595766
1996-02-01,84.010850953488
1996-03-01,84.477166913452
1996-04-01,85.208033916102
1996-05-01,85.789196465561
1996-06-01,86.25564718214599
1996-07-01,86.668425899546
1996-08-01,86.97568244773399
1996-09-01,87.947489159564
1996-10-01,89.004447577609
1996-11-01,90.189059026884
1996-12-01,90.745698062925
1997-01-01,91.24423046701
1997-02-01,92.219688481546
1997-03-01,93.098389283283
1997-04-01,93.526235265983
1997-05-01,93.664293757324
1997-06-01,93.034266989741
1997-07-01,93.155276529724
1997-08-01,92.88388897795299
1997-09-01,93.168260226472
1997-10-01,92.948124896334
1997-11-01,93.588984238218
1997-12-01,93.939214140199
1998-01-01,94.0853972023
1998-02-01,94.132881907878
1998-03-01,94.552148023855
1998-04-01,94.97352034667401
1998-05-01,95.339330593008
1998-06-01,95.695558401143
1998-07-01,96.028874724644
1998-08-01,96.43056068175301
1998-09-01,96.772569282875
1998-10-01,97.091170918108
1998-11-01,97.53953153293502
1998-12-01,98.076459384373
1999-01-01,98.737902276155
1999-02-01,99.238766742265
1999-03-01,98.74984568609001
1999-04-01,98.82250704487801
1999-05-01,99.110827494426
1999-06-01,99.59934206557399
1999-07-01,99.85812321978399
1999-08-01,100.141694227808
1999-09-01,100.336999714976
1999-10-01,100.669343357838
1999-11-01,100.480948838568
1999-12-01,100.528336471961
2000-01-01,100.592580799158
2000-02-01,101.248219916769
2000-03-01,101.55593306134199
2000-04-01,102.17664136194
2000-05-01,102.075554069818
2000-06-01,102.189657055765
2000-07-01,102.40040206967699
2000-08-01,102.64526308474599
2000-09-01,102.811335573703
2000-10-01,103.02600049493601
2000-11-01,103.33891711135999
2000-12-01,104.10850592679701
2001-01-01,104.603897471809
2001-02-01,104.854869141598
2001-03-01,105.101335183545
2001-04-01,105.42337628558201
2001-05-01,105.95556751201299
2001-06-01,106.59148523504
2001-07-01,107.34381447226102
2001-08-01,108.016780021866
2001-09-01,108.342274962765
2001-10-01,108.534428287509
2001-11-01,108.440739407157
2001-12-01,108.40609669901899
2002-01-01,108.925121164146
2002-02-01,109.53025058972601
2002-03-01,111.13550378341002
2002-04-01,111.06117075833299
2002-05-01,111.524942899246
2002-06-01,111.298741742937
2002-07-01,112.27290513572399
2002-08-01,112.015488098882
2002-09-01,112.205482943155
2002-10-01,112.33399237703001
2002-11-01,113.002033810506
2002-12-01,113.802035400094
2003-01-01,114.613707672696
2003-02-01,115.400128424888
2003-03-01,116.00013178040001
