DATE,CEXRSA
1987-01-01,54.057392600483
1987-02-01,54.2292182731
1987-03-01,54.365756208393
1987-04-01,54.155370171169004
1987-05-01,54.726191983705995
1987-06-01,54.881062613198004
1987-07-01,55.28789154890001
1987-08-01,55.444476158985005
1987-09-01,55.842105673218
1987-10-01,56.128175608537
1987-11-01,56.463281287822
1987-12-01,56.606545660658
1988-01-01,56.991128413439
1988-02-01,57.223539310232
1988-03-01,57.903413113430005
1988-04-01,58.067946140080004
1988-05-01,58.262454922059
1988-06-01,58.963494010891
1988-07-01,59.215232648831
1988-08-01,59.627027286601
1988-09-01,59.889827731812
1988-10-01,60.335037750006
1988-11-01,60.727019355342996
1988-12-01,61.307536475980996
1989-01-01,61.998069541308006
1989-02-01,62.071404184237004
1989-03-01,62.172710682527
1989-04-01,61.973559097915
1989-05-01,62.639487929602005
1989-06-01,62.829718793840996
1989-07-01,63.26780371648001
1989-08-01,63.879235044553006
1989-09-01,64.306927034876
1989-10-01,64.718257735253
1989-11-01,64.574369761617
1989-12-01,65.20104573489
1990-01-01,65.36957529908301
1990-02-01,65.982767762148
1990-03-01,66.299339359095
1990-04-01,66.922345440637
1990-05-01,67.06032963463299
1990-06-01,67.61059169616999
1990-07-01,67.923823535652
1990-08-01,68.244551751773
1990-09-01,68.379684208738
1990-10-01,68.474872817711
1990-11-01,68.676441884706
1990-12-01,68.78719781231399
1991-01-01,68.811604254143
1991-02-01,68.805708829228
1991-03-01,69.057800695674
1991-04-01,69.49886700748901
1991-05-01,69.893868778018
1991-06-01,70.181905418756
1991-07-01,70.55204656672599
1991-08-01,70.647020083334
1991-09-01,70.97014398116201
1991-10-01,71.07044280951
1991-11-01,71.220480382458
1991-12-01,71.24782959549201
1992-01-01,71.69424620083801
1992-02-01,72.061059907485
1992-03-01,72.63588239211501
1992-04-01,72.550259656966
1992-05-01,72.639460811356
1992-06-01,72.770829846328
1992-07-01,72.856889911595
1992-08-01,73.172473853314
1992-09-01,73.458245755514
1992-10-01,73.794706343441
1992-11-01,74.079895056042
1992-12-01,74.38251282208701
1993-01-01,74.791706619279
1993-02-01,74.800411052404
1993-03-01,74.945864516101
1993-04-01,75.003950453605
1993-05-01,75.382386810273
1993-06-01,75.652345683069
1993-07-01,75.985698123521
1993-08-01,76.11283954253601
1993-09-01,76.577347210348
1993-10-01,76.99352298628
1993-11-01,77.646398001605
1993-12-01,78.264447858219
1994-01-01,78.78380362522199
1994-02-01,79.03138361944
1994-03-01,79.13629062781101
1994-04-01,79.15887897654801
1994-05-01,79.51936304202
1994-06-01,79.719935573371
1994-07-01,79.905485757036
1994-08-01,80.149728434745
1994-09-01,80.313920781459
1994-10-01,80.667067950372
1994-11-01,81.117094309637
1994-12-01,81.350428948613
1995-01-01,81.59620896428099
1995-02-01,81.599874772171
1995-03-01,81.843970365989
1995-04-01,82.218887830788
1995-05-01,82.491087879786
1995-06-01,83.238447523478
1995-07-01,83.13583121718601
1995-08-01,83.663619398303
1995-09-01,83.87257610380101
1995-10-01,84.336908660454
1995-11-01,84.44172925456199
1995-12-01,84.62430573560701
1996-01-01,84.611192090744
1996-02-01,85.04865266979701
1996-03-01,85.611472155935
1996-04-01,86.23749502469299
1996-05-01,86.380412943379
1996-06-01,86.613553304902
1996-07-01,86.99978536871099
1996-08-01,87.26683265081199
1996-09-01,87.48272667682
1996-10-01,87.617266355
1996-11-01,87.724309988876
1996-12-01,87.96011607148199
1997-01-01,87.679938962244
1997-02-01,88.47639673252701
1997-03-01,88.91698011399201
1997-04-01,88.826301023204
1997-05-01,89.002943539815
1997-06-01,88.81707070523399
1997-07-01,89.46598375529899
1997-08-01,89.398328985843
1997-09-01,89.973585297224
1997-10-01,89.70232498622102
1997-11-01,90.43204541265699
1997-12-01,90.671342392807
1998-01-01,91.25473894267799
1998-02-01,91.61927318354601
1998-03-01,91.846255577878
1998-04-01,92.090045989683
1998-05-01,92.41828748263201
1998-06-01,93.083258179084
1998-07-01,93.32300273741501
1998-08-01,93.55187779754401
1998-09-01,93.749456955898
1998-10-01,94.05294278364401
1998-11-01,94.547001976278
1998-12-01,94.90964083105101
1999-01-01,95.44428855399
1999-02-01,95.79328237070801
1999-03-01,96.43456767044
1999-04-01,96.875891846252
1999-05-01,97.19593909799102
1999-06-01,97.277558562639
1999-07-01,97.422461539508
1999-08-01,97.918928355877
1999-09-01,98.301515302979
1999-10-01,98.894596597213
1999-11-01,99.60756804968
1999-12-01,100.050911793736
2000-01-01,100.531376708673
2000-02-01,100.509031962484
2000-03-01,101.166613954193
2000-04-01,101.73823370588
2000-05-01,102.15895628247299
2000-06-01,102.041036844284
2000-07-01,101.92993747412301
2000-08-01,102.193289101345
2000-09-01,102.51897871389
2000-10-01,103.20290392467301
2000-11-01,103.55702843466
2000-12-01,104.220121848223
2001-01-01,104.537838627103
2001-02-01,104.851510943783
2001-03-01,104.967130384094
2001-04-01,104.781754268547
2001-05-01,105.251809677477
2001-06-01,105.677967674777
2001-07-01,106.475422663999
2001-08-01,106.981451806025
2001-09-01,107.273437152508
2001-10-01,107.005525015344
2001-11-01,106.766990489897
2001-12-01,106.368935096951
2002-01-01,106.87688538278799
2002-02-01,107.424832559741
2002-03-01,107.973850588322
2002-04-01,108.35725536480301
2002-05-01,108.590302390644
2002-06-01,109.149143020436
2002-07-01,109.457089681801
2002-08-01,109.488069156262
2002-09-01,109.413074576655
2002-10-01,109.58242804577499
2002-11-01,109.766232895543
2002-12-01,110.226617107715
2003-01-01,110.892304487684
2003-02-01,111.70110976154899
