DATE,DNXRSA
1987-01-01,50.348016973033
1987-02-01,50.160468135396
1987-03-01,50.383477855699
1987-04-01,50.744627537594994
1987-05-01,50.763537884962
1987-06-01,50.432334947244996
1987-07-01,50.203942887787
1987-08-01,50.121221578409994
1987-09-01,50.058281241182
1987-10-01,50.146078705334
1987-11-01,49.733600569423
1987-12-01,49.854955487805995
1988-01-01,49.55073718613401
1988-02-01,49.494751812424
1988-03-01,49.061297081922
1988-04-01,48.739809653865
1988-05-01,48.34998173970801
1988-06-01,48.172998088543
1988-07-01,48.224771559024
1988-08-01,48.248068086842004
1988-09-01,48.213180156361
1988-10-01,48.033036882670004
1988-11-01,47.748891408483
1988-12-01,47.435571182593
1989-01-01,47.46956845569
1989-02-01,47.452369289031
1989-03-01,47.529437497848996
1989-04-01,47.465422175972
1989-05-01,47.596805997338
1989-06-01,47.60539016430101
1989-07-01,47.503181907146995
1989-08-01,47.48224928859901
1989-09-01,47.600660197090995
1989-10-01,47.896674288044004
1989-11-01,48.109732188971996
1989-12-01,48.213369924984
1990-01-01,48.239664413022005
1990-02-01,48.363972992046
1990-03-01,48.495972483427
1990-04-01,48.520754773326
1990-05-01,48.469482739764004
1990-06-01,48.579998664593
1990-07-01,48.655078272642
1990-08-01,48.673423097832
1990-09-01,48.757104014734004
1990-10-01,48.665677831405
1990-11-01,48.753452315321
1990-12-01,48.733883278315
1991-01-01,48.939665414922
1991-02-01,48.981098239316
1991-03-01,49.059648074159995
1991-04-01,49.305171163072
1991-05-01,49.551076528459
1991-06-01,49.894683086387
1991-07-01,50.329776025559
1991-08-01,50.509570258443006
1991-09-01,50.654485411482
1991-10-01,50.827988203592994
1991-11-01,51.043581485137
1991-12-01,51.324706423134
1992-01-01,51.522702472003004
1992-02-01,52.28345304495
1992-03-01,53.066809672452
1992-04-01,53.576005653264
1992-05-01,53.79891703475099
1992-06-01,53.947765820591
1992-07-01,54.137494689613
1992-08-01,54.393270644796
1992-09-01,54.715963830769
1992-10-01,54.816603622324
1992-11-01,55.24260324458
1992-12-01,55.599695773995
1993-01-01,56.127034746526
1993-02-01,56.432683580732004
1993-03-01,56.95378694319
1993-04-01,57.147277150246
1993-05-01,57.565075957408
1993-06-01,58.179876597244
1993-07-01,58.809817471967
1993-08-01,59.53391322993
1993-09-01,60.141203069725
1993-10-01,60.842266070443
1993-11-01,61.429606784837
1993-12-01,62.243346655213
1994-01-01,62.81917653700499
1994-02-01,63.479289506351
1994-03-01,63.9400281396
1994-04-01,64.548828803286
1994-05-01,65.04630365705201
1994-06-01,65.605165075368
1994-07-01,65.96231939805
1994-08-01,66.298226898888
1994-09-01,66.515389975538
1994-10-01,66.85554047076
1994-11-01,67.183663784468
1994-12-01,67.574831072824
1995-01-01,67.954910875224
1995-02-01,68.31042057518
1995-03-01,68.600788878137
1995-04-01,68.734581862231
1995-05-01,69.155565895031
1995-06-01,69.374440357872
1995-07-01,69.818298659124
1995-08-01,70.163105805561
1995-09-01,70.699941178652
1995-10-01,71.059297038001
1995-11-01,71.35671212989
1995-12-01,71.63557746945
1996-01-01,71.73647718394399
1996-02-01,71.963807223919
1996-03-01,72.33621946739001
1996-04-01,72.896792122782
1996-05-01,73.329597760087
1996-06-01,73.335057259403
1996-07-01,73.527292173291
1996-08-01,73.543707235414
1996-09-01,73.895539232752
1996-10-01,74.255800300909
1996-11-01,74.740079638934
1996-12-01,75.187378520938
1997-01-01,75.389773734581
1997-02-01,75.758766465451
1997-03-01,76.17491439817199
1997-04-01,76.585227388937
1997-05-01,76.944191475033
1997-06-01,77.34586556777701
1997-07-01,77.80352579762
1997-08-01,78.308693334675
1997-09-01,78.442669631651
1997-10-01,78.821106561886
1997-11-01,79.333085384659
1997-12-01,80.044822939212
1998-01-01,80.65378141496
1998-02-01,81.008931703979
1998-03-01,81.235242476971
1998-04-01,81.763095172016
1998-05-01,82.416527919364
1998-06-01,83.07923728931999
1998-07-01,83.741020736623
1998-08-01,84.549210257205
1998-09-01,85.254287281516
1998-10-01,86.05164391134899
1998-11-01,86.80162257063299
1998-12-01,87.429656226693
1999-01-01,88.492629317777
1999-02-01,89.45874108898
1999-03-01,90.85743276794001
1999-04-01,91.688185227106
1999-05-01,92.548577800357
1999-06-01,93.394919970185
1999-07-01,94.37796320783
1999-08-01,95.555348650157
1999-09-01,96.958957628428
1999-10-01,98.037691194674
1999-11-01,98.848466769746
1999-12-01,99.666178593421
2000-01-01,100.663014041975
2000-02-01,101.652547192678
2000-03-01,102.735590530168
2000-04-01,103.543432298683
2000-05-01,105.30225027061199
2000-06-01,106.908068736702
2000-07-01,108.29913285233499
2000-08-01,109.299623569839
2000-09-01,110.55143390849301
2000-10-01,111.72795275301901
2000-11-01,113.09856954994801
2000-12-01,114.540561803971
2001-01-01,115.50553174427
2001-02-01,116.88037712593001
2001-03-01,117.238786962187
2001-04-01,118.520077283165
2001-05-01,119.253030911985
2001-06-01,119.97409170290899
2001-07-01,120.390210393071
2001-08-01,120.96367184599701
2001-09-01,121.505659517441
2001-10-01,121.69787917635901
2001-11-01,121.641963633393
2001-12-01,121.62476733247101
2002-01-01,122.096946919538
2002-02-01,122.393264988496
2002-03-01,123.10598646573901
2002-04-01,123.332127205479
2002-05-01,124.008640625588
2002-06-01,124.2546811149
2002-07-01,124.676047745546
2002-08-01,124.61101538151699
2002-09-01,124.66695031874599
2002-10-01,125.00026102761801
2002-11-01,125.555003622955
2002-12-01,125.71203297049802
2003-01-01,125.619506822117
2003-02-01,125.59865937883998
2003-03-01,126.111024702209
2003-04-01,125.915750997221
2003-05-01,125.77756277527399
2003-06-01,125.080528849862
2003-07-01,125.164516024533
2003-08-01,125.597475937976
2003-09-01,125.829176505875
2003-10-01,126.298094177752
2003-11-01,126.79620123626499
2003-12-01,127.264099264654
2004-01-01,128.08293223834602
2004-02-01,128.64044200823201
2004-03-01,129.250015504012
2004-04-01,129.290288762693
2004-05-01,129.311975067215
2004-06-01,129.843561007936
2004-07-01,129.969814011814
2004-08-01,130.35218091173098
2004-09-01,130.51406797126
2004-10-01,131.27089378915701
2004-11-01,131.87108742843398
2004-12-01,132.755062351508
2005-01-01,133.395208404772
