DATE,CHXRSA
1987-01-01,54.20647876431401
1987-02-01,55.227274135326006
1987-03-01,54.811034097686004
1987-04-01,54.801947384645004
1987-05-01,55.477466174027995
1987-06-01,56.059766704256
1987-07-01,57.109366529393995
1987-08-01,57.612209398831
1987-09-01,58.270367998261
1987-10-01,59.006378880118
1987-11-01,59.71248845492
1987-12-01,61.075387998962
1988-01-01,61.972436579441
1988-02-01,63.446484922667
1988-03-01,64.50860574902799
1988-04-01,65.151433283635
1988-05-01,65.571985529543
1988-06-01,66.46400791267399
1988-07-01,66.551697212951
1988-08-01,67.751500225487
1988-09-01,68.02481881463801
1988-10-01,69.034958960806
1988-11-01,68.646142613058
1988-12-01,68.51149958317299
1989-01-01,68.329908988505
1989-02-01,69.008791673665
1989-03-01,70.07448940017
1989-04-01,70.654160787311
1989-05-01,70.505418547233
1989-06-01,70.521771318217
1989-07-01,70.328441523671
1989-08-01,70.373904706837
1989-09-01,70.179456740637
1989-10-01,70.06139616474499
1989-11-01,69.87009730830401
1989-12-01,69.679116566779
1990-01-01,69.355887352758
1990-02-01,68.700554103694
1990-03-01,68.904077172591
1990-04-01,69.475721318635
1990-05-01,69.995388098706
1990-06-01,70.250853448
1990-07-01,70.66221032241499
1990-08-01,70.57985411821001
1990-09-01,70.944463269165
1990-10-01,70.717546308451
1990-11-01,70.963493106575
1990-12-01,70.751327708631
1991-01-01,70.83917886986
1991-02-01,71.098314117877
1991-03-01,70.944704744192
1991-04-01,71.235726544847
1991-05-01,71.395643970048
1991-06-01,71.318992408205
1991-07-01,71.58321690717301
1991-08-01,71.791678935147
1991-09-01,71.966358151603
1991-10-01,72.181066314489
1991-11-01,72.37210923154899
1991-12-01,73.013735091813
1992-01-01,73.42500636658
1992-02-01,73.718317035757
1992-03-01,73.891724711458
1992-04-01,73.22575826234299
1992-05-01,73.419645392338
1992-06-01,74.13148230411
1992-07-01,74.900438996274
1992-08-01,74.978006341051
1992-09-01,75.234983548903
1992-10-01,75.545505439162
1992-11-01,75.910743673766
1992-12-01,75.848620240965
1993-01-01,76.011974265424
1993-02-01,76.008640130312
1993-03-01,76.215453658693
1993-04-01,76.324601271516
1993-05-01,76.692507039792
1993-06-01,77.293236726446
1993-07-01,77.548808388678
1993-08-01,77.62767398517299
1993-09-01,77.812339234676
1993-10-01,78.112284307862
1993-11-01,78.426133588848
1993-12-01,79.106541723644
1994-01-01,80.194479457187
1994-02-01,80.170725614409
1994-03-01,80.07941885164401
1994-04-01,80.20488903599801
1994-05-01,80.56874539076
1994-06-01,80.615509703415
1994-07-01,80.659729532245
