DATE,TPXRSA
1987-01-01,77.44193797795201
1987-02-01,78.10004565498801
1987-03-01,77.68749498418299
1987-04-01,77.819978481068
1987-05-01,77.965267256359
1987-06-01,78.682512152046
1987-07-01,78.992990112208
1987-08-01,78.946442472911
1987-09-01,79.041005925493
1987-10-01,78.87155034884401
1987-11-01,79.017297757476
1987-12-01,79.359679292797
1988-01-01,79.5025393452
1988-02-01,79.431224622683
1988-03-01,79.244850731271
1988-04-01,79.66342126415499
1988-05-01,79.95213070360501
1988-06-01,80.175665421768
1988-07-01,80.51170933572601
1988-08-01,80.706376613592
1988-09-01,80.62686948619
1988-10-01,80.732963234007
1988-11-01,80.61206605994799
1988-12-01,80.900106189986
1989-01-01,80.564569438196
1989-02-01,80.988475789735
1989-03-01,81.611619209791
1989-04-01,81.96956190895
1989-05-01,82.350764072565
1989-06-01,81.957113944523
1989-07-01,81.867957004605
1989-08-01,81.235059346203
1989-09-01,81.669888257932
1989-10-01,81.943190131096
1989-11-01,82.296508886506
1989-12-01,82.14841417856
1990-01-01,82.431568630753
1990-02-01,82.74408348151
1990-03-01,83.12290334555
1990-04-01,82.748281187608
1990-05-01,82.724188304741
1990-06-01,82.44274998484299
1990-07-01,82.634309142862
1990-08-01,82.429744409603
1990-09-01,82.07951323862899
1990-10-01,81.668687662842
1990-11-01,81.507259092711
1990-12-01,81.779366850001
1991-01-01,81.93512457661
1991-02-01,82.124366716926
1991-03-01,81.552077804428
1991-04-01,81.54537829002
1991-05-01,81.281360087264
1991-06-01,81.662886210694
1991-07-01,81.715561755377
1991-08-01,81.89459318281399
1991-09-01,81.52005502808301
1991-10-01,81.395997011633
1991-11-01,81.575249710282
1991-12-01,81.80537711385999
1992-01-01,81.677045088839
1992-02-01,80.758213343177
1992-03-01,80.415793681775
1992-04-01,80.717249100538
1992-05-01,81.037651203959
1992-06-01,81.130856401739
1992-07-01,80.626117377952
1992-08-01,80.385139455519
1992-09-01,80.33975692337401
1992-10-01,81.314862666365
1992-11-01,81.70360702909299
1992-12-01,81.577421563184
1993-01-01,81.51282308457
1993-02-01,81.541151418567
1993-03-01,82.096591893687
1993-04-01,82.493980741748
1993-05-01,82.588922616034
1993-06-01,82.285519058451
1993-07-01,82.266355919381
1993-08-01,82.612544622218
1993-09-01,83.358229018741
1993-10-01,83.672591869266
1993-11-01,83.43742549024999
1993-12-01,82.87943939691
1994-01-01,82.944356520306
1994-02-01,83.49273112236101
1994-03-01,83.960363282923
1994-04-01,83.910001001592
1994-05-01,83.982512386818
1994-06-01,83.958693727296
1994-07-01,84.708112545442
1994-08-01,85.019877833975
1994-09-01,85.09425463356901
1994-10-01,84.810109880794
1994-11-01,84.82985700067701
1994-12-01,85.286424459378
1995-01-01,85.983488767061
1995-02-01,85.88347042022299
1995-03-01,85.712571077703
1995-04-01,85.716175777624
1995-05-01,85.85269254899
1995-06-01,86.409868173037
1995-07-01,86.61406085764798
1995-08-01,86.845697954062
1995-09-01,86.91893803110399
