DATE,LXXRSA
1987-01-01,59.426224372887
1987-02-01,59.894860887982
1987-03-01,60.401073202107
1987-04-01,61.324333701667996
1987-05-01,62.030914554603996
1987-06-01,62.776563627558005
1987-07-01,63.456109467962996
1987-08-01,64.130622681704
1987-09-01,64.893627017966
1987-10-01,65.771604204534
1987-11-01,66.712553785063
1987-12-01,67.777701225837
1988-01-01,68.776913486226
1988-02-01,69.710973249793
1988-03-01,70.69917921330901
1988-04-01,71.484283242549
1988-05-01,72.477087842475
1988-06-01,74.385978746685
1988-07-01,76.921119784362
1988-08-01,78.668049203959
1988-09-01,80.60749305120301
1988-10-01,82.38093389714001
1988-11-01,84.412820454304
1988-12-01,85.81818736093899
1989-01-01,87.47324975201799
1989-02-01,88.773031689686
1989-03-01,91.14747188514299
1989-04-01,93.012292432264
1989-05-01,94.569356609117
1989-06-01,95.51346467659401
1989-07-01,96.252043336757
1989-08-01,96.66238933171302
1989-09-01,97.199709123017
1989-10-01,97.879710708064
1989-11-01,98.99646192280501
1989-12-01,99.770236337545
1990-01-01,100.47119254208401
1990-02-01,100.761571664179
1990-03-01,100.99283785871201
1990-04-01,100.990409690348
1990-05-01,100.394583324956
1990-06-01,100.111046094827
1990-07-01,99.50556921725
1990-08-01,99.046182758374
1990-09-01,98.42543958883002
1990-10-01,98.001446077748
1990-11-01,97.11387197536399
1990-12-01,96.548149711961
1991-01-01,95.569014522668
1991-02-01,94.704202772726
1991-03-01,93.772605852127
1991-04-01,93.74172769923901
1991-05-01,93.909246938354
1991-06-01,94.06281230575199
1991-07-01,94.284567572328
1991-08-01,94.258301890952
1991-09-01,94.09221156098499
1991-10-01,93.87506098237199
1991-11-01,93.47021989474301
1991-12-01,93.136478276169
1992-01-01,92.786925645956
1992-02-01,92.57123739917299
1992-03-01,91.911465094985
1992-04-01,91.44047124402
1992-05-01,90.86829045145001
1992-06-01,90.166354772597
1992-07-01,89.488158894252
1992-08-01,88.928163697592
1992-09-01,88.31917895943
1992-10-01,87.357473840715
1992-11-01,86.642983711575
1992-12-01,85.815592878235
1993-01-01,85.246295188478
1993-02-01,84.660704673097
1993-03-01,83.616114768195
1993-04-01,82.79206094128
1993-05-01,82.042899043265
1993-06-01,81.42818087495999
1993-07-01,80.566796072515
1993-08-01,79.48271273951299
1993-09-01,79.045258619042
1993-10-01,78.382411944574
1993-11-01,78.230524044683
1993-12-01,77.572213624362
1994-01-01,77.395051806263
1994-02-01,77.444378592746
1994-03-01,77.2626512787
1994-04-01,77.085423669947
1994-05-01,76.665131947414
1994-06-01,76.435033965188
1994-07-01,76.409828610259
1994-08-01,76.409722543401
1994-09-01,76.434335694401
1994-10-01,76.54724474947
1994-11-01,76.468887153379
1994-12-01,76.394235647031
1995-01-01,76.37638922777501
1995-02-01,76.022727005498
1995-03-01,75.775651592133
1995-04-01,75.356665490464
1995-05-01,75.117776591295
1995-06-01,74.55546598689999
1995-07-01,74.500037177891
1995-08-01,74.280367802713
1995-09-01,74.191166312746
1995-10-01,74.087425525619
1995-11-01,74.02906750749099
1995-12-01,73.936945892411
1996-01-01,73.91998918195
1996-02-01,73.843781169874
1996-03-01,73.855403246833
1996-04-01,73.85737181651301
1996-05-01,73.995482394932
1996-06-01,74.154395778129
1996-07-01,74.113198637134
1996-08-01,74.048387340218
1996-09-01,73.999472146781
1996-10-01,74.180130768824
1996-11-01,74.418172716287
1996-12-01,74.51555365787699
1997-01-01,74.536883605526
1997-02-01,74.4024072533
1997-03-01,74.790604463545
1997-04-01,75.272691796939
1997-05-01,75.764761941993
1997-06-01,76.19281467878601
1997-07-01,76.542699753577
1997-08-01,77.16443951979299
1997-09-01,77.555314346562
1997-10-01,78.233058351273
1997-11-01,78.891309854154
1997-12-01,79.907611838405
1998-01-01,81.03503707944999
1998-02-01,82.19181169074099
1998-03-01,83.653217594598
1998-04-01,84.398788129486
1998-05-01,85.395777778358
1998-06-01,86.445418340991
1998-07-01,87.851522284786
1998-08-01,88.934779360898
1998-09-01,90.084249970963
1998-10-01,90.774099875946
1998-11-01,91.29391238077
1998-12-01,91.78123483153999
1999-01-01,92.14008627011499
1999-02-01,92.71811852220199
1999-03-01,93.384054983736
1999-04-01,94.38407185369199
1999-05-01,95.233154691089
1999-06-01,96.025527692045
1999-07-01,96.64867101200701
1999-08-01,97.17484693455098
1999-09-01,97.67920954533899
1999-10-01,98.32870109622601
1999-11-01,99.23870332527399
1999-12-01,100.32964850739401
2000-01-01,101.03120938196699
2000-02-01,102.043406380835
2000-03-01,103.224699379547
2000-04-01,104.15939900203001
2000-05-01,104.924697819671
2000-06-01,105.693406965947
2000-07-01,106.32468710784401
2000-08-01,106.96663259156901
2000-09-01,107.886787190323
2000-10-01,108.80865702500799
2000-11-01,109.98391904917601
2000-12-01,110.71600551543101
2001-01-01,112.031476530491
2001-02-01,112.902899159844
2001-03-01,114.178497078785
2001-04-01,114.636796157914
2001-05-01,115.257389061889
2001-06-01,115.73461111351001
2001-07-01,116.375631933871
2001-08-01,117.35851921884199
2001-09-01,118.340089909044
2001-10-01,119.315661477567
2001-11-01,120.30320639426901
2001-12-01,121.289621407046
2002-01-01,122.70650716280399
2002-02-01,123.98952078338199
2002-03-01,125.45607423962099
2002-04-01,126.851902069144
2002-05-01,128.691985038254
2002-06-01,130.77230395836202
2002-07-01,132.858714378332
2002-08-01,135.085217431561
2002-09-01,137.23673300993
2002-10-01,139.723107637603
2002-11-01,141.82438465531
2002-12-01,143.982063241311
2003-01-01,145.75240257059602
2003-02-01,147.308755074779
2003-03-01,148.88173768651
2003-04-01,150.48556117654698
2003-05-01,152.288284324622
2003-06-01,154.062876189323
2003-07-01,157.016131636593
2003-08-01,160.104665143435
2003-09-01,163.588262263515
2003-10-01,167.056467024097
2003-11-01,170.757062994648
2003-12-01,174.784596904206
2004-01-01,178.773758097851
2004-02-01,182.91494126882
2004-03-01,188.786657335256
2004-04-01,194.500263932036
2004-05-01,199.737743979257
2004-06-01,205.27864909211002
2004-07-01,209.29722563005902
2004-08-01,211.14913863992
2004-09-01,212.71782078150798
2004-10-01,213.86877463189603
2004-11-01,216.022392146837
2004-12-01,218.12922729545502
2005-01-01,221.471357144058
2005-02-01,225.20733350897004
2005-03-01,229.746892083187
2005-04-01,233.443544583517
2005-05-01,237.105438089286
2005-06-01,240.58333943498698
2005-07-01,244.262581919024
2005-08-01,248.283834716726
2005-09-01,252.841110429706
2005-10-01,257.743331100444
2005-11-01,261.66351065333697
2005-12-01,265.419364395076
2006-01-01,268.208763504107
2006-02-01,271.233744379979
2006-03-01,272.084315186401
2006-04-01,273.089271878486
2006-05-01,272.930596969771
2006-06-01,272.218175399312
2006-07-01,271.49397382184
2006-08-01,270.587775296474
2006-09-01,270.43493281830104
2006-10-01,270.998383418522
2006-11-01,271.902474030747
2006-12-01,270.322200702295
2007-01-01,270.80479799190897
2007-02-01,270.136721319095
