DATE,WDXRSA
1987-01-01,64.410215062128
1987-02-01,65.132330619397
1987-03-01,65.997852810846
1987-04-01,66.638734303829
1987-05-01,67.444725631397
1987-06-01,68.516923450951
1987-07-01,69.387165324854
1987-08-01,70.25445289451
1987-09-01,71.39573363726599
1987-10-01,72.318104192893
1987-11-01,73.15863879252
1987-12-01,73.585563003333
1988-01-01,74.40191447737
1988-02-01,75.287983419035
1988-03-01,76.394745590772
1988-04-01,77.301874031588
1988-05-01,78.379850438605
1988-06-01,79.340788798041
1988-07-01,80.775112487385
1988-08-01,81.928750222157
1988-09-01,83.157659202406
1988-10-01,83.674242436366
1988-11-01,84.632639431778
1988-12-01,85.92852609181699
1989-01-01,86.868957425478
1989-02-01,87.802266628933
1989-03-01,88.618967947876
1989-04-01,89.32523747308599
1989-05-01,89.77712680602899
1989-06-01,90.20321283775499
1989-07-01,90.707731394091
1989-08-01,91.365157786709
1989-09-01,91.927281744565
1989-10-01,92.190256823409
1989-11-01,92.382465870594
1989-12-01,92.840752653287
1990-01-01,93.362854790073
1990-02-01,93.664526485478
1990-03-01,93.605137871673
1990-04-01,93.58553395280799
1990-05-01,93.112160836965
1990-06-01,92.633770173456
1990-07-01,92.227285191533
1990-08-01,91.841703002998
1990-09-01,91.431715243863
1990-10-01,91.25676104302
1990-11-01,91.005988463179
1990-12-01,90.93694272744301
1991-01-01,89.706871111636
1991-02-01,89.264610069683
1991-03-01,88.21111547660699
1991-04-01,87.92178151914
1991-05-01,88.651272684985
1991-06-01,88.93663737249001
1991-07-01,88.99454498355101
1991-08-01,88.612423362967
1991-09-01,88.48782809957399
1991-10-01,88.424866179811
1991-11-01,88.672204952374
1991-12-01,88.471088859354
1992-01-01,88.573806947607
1992-02-01,88.22229818838699
1992-03-01,88.642353283669
1992-04-01,88.840926541214
1992-05-01,88.98101589780501
1992-06-01,88.869001639292
1992-07-01,88.500412551788
1992-08-01,88.482197227461
1992-09-01,88.40575550951901
1992-10-01,88.591012565261
1992-11-01,88.671207164109
1992-12-01,88.812353258711
1993-01-01,89.06511779005699
1993-02-01,89.279574126772
1993-03-01,89.43854111854799
1993-04-01,88.941327000805
1993-05-01,88.481882772683
1993-06-01,88.649592405138
1993-07-01,88.817754395364
1993-08-01,88.924336636499
1993-09-01,88.79469401535499
1993-10-01,88.62247270543699
1993-11-01,88.50734274433
1993-12-01,88.835724434291
1994-01-01,88.98846669931999
1994-02-01,89.021173073609
1994-03-01,89.305351647675
1994-04-01,89.481146129357
1994-05-01,89.789237651612
1994-06-01,90.091046741896
1994-07-01,90.18055149040501
1994-08-01,90.07934676519301
1994-09-01,90.05467580712799
1994-10-01,90.03542298131799
1994-11-01,90.135949819785
1994-12-01,89.947783173567
1995-01-01,89.670302828454
1995-02-01,89.604139810257
1995-03-01,89.398265326336
1995-04-01,89.127876554952
1995-05-01,88.934263703977
1995-06-01,88.669538819667
1995-07-01,88.56682053280399
1995-08-01,88.64910242482401
1995-09-01,88.796482485635
1995-10-01,88.757638472509
1995-11-01,88.648811308737
1995-12-01,88.63947037562001
1996-01-01,88.65536855511299
1996-02-01,88.536770388684
1996-03-01,88.60999895897
1996-04-01,88.87265127651101
1996-05-01,88.874643493624
1996-06-01,88.783848032844
1996-07-01,88.706748461082
1996-08-01,88.643889746423
1996-09-01,88.67857645995501
1996-10-01,88.818022957042
1996-11-01,88.92154547951701
1996-12-01,88.67360543145399
1997-01-01,88.775223909674
1997-02-01,88.97133458938801
1997-03-01,89.33657981719801
1997-04-01,88.923039930302
1997-05-01,88.932324023981
1997-06-01,88.972032383529
1997-07-01,89.00796712538099
1997-08-01,89.117175712479
1997-09-01,89.229588290737
1997-10-01,89.544971155533
1997-11-01,89.751684978754
1997-12-01,89.972057835902
1998-01-01,90.108149163741
1998-02-01,90.22018710964501
1998-03-01,90.34590232129999
1998-04-01,90.550014452508
1998-05-01,90.842645441245
1998-06-01,91.2973170048
1998-07-01,91.54794726690399
1998-08-01,91.784734211766
1998-09-01,91.96941183026699
1998-10-01,92.402607911119
1998-11-01,93.01248275246598
1998-12-01,93.513382672278
1999-01-01,94.188054181876
1999-02-01,94.42715073678002
1999-03-01,94.927503535676
1999-04-01,95.521028778717
1999-05-01,95.85611276435199
1999-06-01,96.591936697399
1999-07-01,97.29490699603599
1999-08-01,98.01488088685
1999-09-01,98.59970275141501
1999-10-01,98.99249312073201
1999-11-01,99.455856210474
1999-12-01,100.09413503408501
2000-01-01,100.87183237366501
2000-02-01,101.70123722497601
2000-03-01,102.89418920432199
2000-04-01,103.954036936956
2000-05-01,104.924617571399
2000-06-01,105.71850930269001
2000-07-01,106.711359776026
2000-08-01,107.792642691921
2000-09-01,108.994654636315
2000-10-01,109.87195991476901
2000-11-01,111.088011214688
2000-12-01,112.40423382778499
2001-01-01,113.79441106710699
2001-02-01,115.390590832988
2001-03-01,116.83831793858101
2001-04-01,118.63056757853799
2001-05-01,119.25685780036899
2001-06-01,120.24629477359301
2001-07-01,121.080686788832
2001-08-01,122.08724020326599
2001-09-01,123.103810177868
2001-10-01,124.13435640178899
2001-11-01,125.046400138571
2001-12-01,126.178112268305
2002-01-01,127.245701441595
2002-02-01,128.823820441731
2002-03-01,130.138868362756
2002-04-01,131.62331056320298
2002-05-01,133.294920254045
2002-06-01,134.840568392034
2002-07-01,136.99858725879298
2002-08-01,138.954971645718
2002-09-01,140.802239170446
2002-10-01,142.448935073434
2002-11-01,143.865827544911
2002-12-01,145.59048683382798
2003-01-01,146.67685082963
2003-02-01,147.94399345212798
