DATE,PHXRSA
1989-01-01,67.567862361537
1989-02-01,67.621024998193
1989-03-01,67.923986331763
1989-04-01,67.965016446797
1989-05-01,68.06856715849901
1989-06-01,67.695913886388
1989-07-01,67.340460473657
1989-08-01,66.94764413975099
1989-09-01,66.82268148756799
1989-10-01,66.560192291078
1989-11-01,66.49372031904299
1989-12-01,66.501088244971
1990-01-01,66.579708053952
1990-02-01,66.70474737712
1990-03-01,66.639999390122
1990-04-01,66.780148738879
1990-05-01,66.593508796513
1990-06-01,66.601270764563
1990-07-01,66.395290506509
1990-08-01,66.257703212767
1990-09-01,65.941575076766
1990-10-01,65.808725907122
1990-11-01,65.382224193521
1990-12-01,65.450435426643
1991-01-01,65.280263975656
1991-02-01,65.481327385711
1991-03-01,64.791035751013
1991-04-01,64.63118700516
1991-05-01,64.511732849127
1991-06-01,64.92669390807299
1991-07-01,65.318187540854
1991-08-01,65.560118965475
1991-09-01,65.739003301403
1991-10-01,65.71917071917301
1991-11-01,66.07614995928999
1991-12-01,66.043468471556
1992-01-01,66.037345449531
1992-02-01,66.06920542236399
1992-03-01,66.10931075408901
1992-04-01,66.08932675236301
1992-05-01,66.144019789787
1992-06-01,66.13144627989
1992-07-01,66.096228503721
1992-08-01,66.168509453468
1992-09-01,66.24074249023
1992-10-01,66.433046751568
1992-11-01,66.495500799311
1992-12-01,66.680289774515
1993-01-01,66.872847716268
1993-02-01,67.022274593254
1993-03-01,67.367357135996
1993-04-01,67.526827642672
1993-05-01,67.851772111279
1993-06-01,67.98978857639
1993-07-01,68.29577471354901
1993-08-01,68.446558556985
1993-09-01,68.989920243404
1993-10-01,69.29003090935299
1993-11-01,69.796166984427
1993-12-01,70.126537706237
1994-01-01,70.59859798432801
1994-02-01,71.02775844299799
1994-03-01,71.42934772398401
1994-04-01,71.915447119019
1994-05-01,72.216243203242
1994-06-01,72.484241181441
1994-07-01,72.8666816067
1994-08-01,73.268605295014
1994-09-01,73.767008252598
1994-10-01,74.143968261989
1994-11-01,74.453513599447
1994-12-01,74.901614620563
1995-01-01,75.215264594661
1995-02-01,75.59570634015999
1995-03-01,75.670279995109
1995-04-01,75.924173270871
1995-05-01,76.217662631443
1995-06-01,76.78954130514
1995-07-01,77.143209342619
1995-08-01,77.449885196879
1995-09-01,77.601536850131
1995-10-01,78.022601448342
1995-11-01,78.392807668681
1995-12-01,78.861034372166
1996-01-01,79.260129386889
1996-02-01,79.71497990653201
1996-03-01,80.07869707992799
1996-04-01,80.477154814044
1996-05-01,80.76591520649299
1996-06-01,81.01945806614701
1996-07-01,81.33814119460399
1996-08-01,81.60692434606301
1996-09-01,81.855145981726
1996-10-01,82.067233165912
1996-11-01,82.299405937149
1996-12-01,82.475997766033
1997-01-01,82.803127149359
1997-02-01,83.179629679865
1997-03-01,83.549296489068
1997-04-01,83.951000610528
1997-05-01,84.266688793618
1997-06-01,84.392875518716
1997-07-01,84.43674251430001
1997-08-01,84.555527757512
1997-09-01,85.02708209404
1997-10-01,85.64220265381199
1997-11-01,86.158886373167
