DATE,SFXRSA
1987-01-01,46.955792489659004
1987-02-01,47.302674799206
1987-03-01,47.840212928966
1987-04-01,47.984057701756
1987-05-01,48.305065129391004
1987-06-01,48.605786861179
1987-07-01,49.084565779988004
1987-08-01,49.542592009624
1987-09-01,50.2412878147
1987-10-01,50.992698180037
1987-11-01,51.641130556381995
1987-12-01,52.229110582827
1988-01-01,52.702836164853004
1988-02-01,53.199837070369995
1988-03-01,53.866209706254
1988-04-01,54.534047187591
1988-05-01,56.067376742114
1988-06-01,57.881818387134
1988-07-01,58.174426410619
1988-08-01,58.49688496153401
1988-09-01,58.936924509437
1988-10-01,59.950319222301
1988-11-01,61.105586443502
1988-12-01,62.465814159287994
1989-01-01,63.288489841422994
1989-02-01,64.057740522953
1989-03-01,65.561702975651
1989-04-01,66.696525836939
1989-05-01,67.703283862443
1989-06-01,68.784367143576
1989-07-01,69.591281163585
1989-08-01,70.715737930033
1989-09-01,71.59164011402099
1989-10-01,72.42559090074
1989-11-01,73.015228797766
1989-12-01,73.394917535224
1990-01-01,73.64250639981
1990-02-01,73.822604210509
1990-03-01,74.595008943752
1990-04-01,75.065394671585
1990-05-01,75.020094313203
1990-06-01,74.588360073491
1990-07-01,74.048470600153
1990-08-01,73.75247492391699
1990-09-01,73.482384079979
1990-10-01,72.906601014228
1990-11-01,72.374808079286
1990-12-01,71.864584610222
1991-01-01,71.93549501789799
1991-02-01,71.12639049570599
1991-03-01,70.60820847374501
1991-04-01,69.909268219997
1991-05-01,70.01055908729299
1991-06-01,70.28133787390199
1991-07-01,70.657607305599
1991-08-01,70.827749155304
1991-09-01,70.822434169763
1991-10-01,70.71237053199701
1991-11-01,70.534379608245
1991-12-01,70.450289315219
1992-01-01,70.395201897459
1992-02-01,70.339553394024
1992-03-01,70.194740615702
1992-04-01,69.685742447234
1992-05-01,69.729028078968
1992-06-01,69.488896994116
1992-07-01,69.272296933187
1992-08-01,68.96255768259499
1992-09-01,68.805481403286
1992-10-01,68.827788540346
1992-11-01,68.74531671925101
1992-12-01,68.583940827304
1993-01-01,68.450963787866
1993-02-01,68.29010068161
1993-03-01,68.06550564160901
1993-04-01,67.991240829272
1993-05-01,67.76187034886401
1993-06-01,67.47326310090101
1993-07-01,66.931306383552
1993-08-01,66.951066896821
1993-09-01,66.83162536459001
1993-10-01,66.772023833777
1993-11-01,66.724370375363
1993-12-01,66.630978472182
1994-01-01,66.634809327063
1994-02-01,66.648560751433
1994-03-01,67.321860803324
1994-04-01,67.41857715454701
1994-05-01,67.537251642478
1994-06-01,67.612727606078
1994-07-01,67.640450476334
1994-08-01,67.68213571288
1994-09-01,67.54309042527099
1994-10-01,67.793425394955
1994-11-01,68.050658243355
1994-12-01,68.31163644994899
1995-01-01,68.415407068539
1995-02-01,68.32134223941
1995-03-01,67.72523946339001
1995-04-01,67.406391721649
1995-05-01,67.105979912229
1995-06-01,66.921254162453
1995-07-01,66.964520957545
1995-08-01,67.018593634719
1995-09-01,67.10789584694
1995-10-01,66.971346818636
1995-11-01,66.906437586357
1995-12-01,66.849720741003
1996-01-01,66.877716280051
1996-02-01,66.904028120186
1996-03-01,66.807687084114
1996-04-01,66.69168718358699
1996-05-01,66.784225572071
1996-06-01,67.01561404882301
1996-07-01,67.216140331131
1996-08-01,67.544701696483
1996-09-01,67.795879049698
1996-10-01,68.26022797492
1996-11-01,68.935062950308
1996-12-01,69.207169889233
1997-01-01,69.63862427645999
1997-02-01,69.83533753476499
1997-03-01,70.63641282975
1997-04-01,71.262603763429
1997-05-01,71.79153720142101
1997-06-01,72.310462010817
1997-07-01,72.80428269410301
1997-08-01,73.573608313939
1997-09-01,74.115102661381
1997-10-01,75.037767993773
1997-11-01,75.675430011024
1997-12-01,76.49970289819899
1998-01-01,77.202176959424
1998-02-01,77.67771792642901
1998-03-01,78.306592363429
1998-04-01,79.127858715933
1998-05-01,80.215100594083
1998-06-01,81.391909973023
1998-07-01,82.382300521131
1998-08-01,83.516936866569
1998-09-01,84.439691427269
1998-10-01,84.96501087166
1998-11-01,85.16421031503
1998-12-01,85.39775518859
1999-01-01,86.22789354126999
1999-02-01,87.21906554764601
1999-03-01,88.29171241485399
1999-04-01,89.08616969258101
1999-05-01,89.970171165294
1999-06-01,91.27607867542801
1999-07-01,92.892928481632
1999-08-01,94.27522612953899
1999-09-01,95.596227435559
1999-10-01,96.764295792052
1999-11-01,98.508827538389
1999-12-01,100.029152904795
2000-01-01,101.449953784724
2000-02-01,104.170604240496
