DATE,ATXRSA
1991-01-01,69.61946151298001
1991-02-01,69.469662049708
1991-03-01,69.32466163420901
1991-04-01,69.718664344301
1991-05-01,69.796970257295
1991-06-01,70.05309180848
1991-07-01,69.91454873077
1991-08-01,70.088140696569
1991-09-01,70.040121764585
1991-10-01,70.142007410321
1991-11-01,70.120244516018
1991-12-01,70.009107122029
1992-01-01,70.067844194073
1992-02-01,70.172736925566
1992-03-01,70.226180072369
1992-04-01,70.218267435182
1992-05-01,70.389572564431
1992-06-01,70.499924762585
1992-07-01,71.079205221132
1992-08-01,71.135226151902
1992-09-01,71.289586684551
1992-10-01,71.02813244204
1992-11-01,71.362146102499
1992-12-01,71.431787886088
1993-01-01,71.534230302436
1993-02-01,71.53293734779601
1993-03-01,71.747532025143
1993-04-01,72.22512906629599
1993-05-01,72.625996078063
1993-06-01,72.831974347956
1993-07-01,73.123039294854
1993-08-01,73.26739215795901
1993-09-01,73.584996853178
1993-10-01,73.774337824811
1993-11-01,73.994210127031
1993-12-01,74.367248502113
1994-01-01,74.76445482562299
1994-02-01,75.355729364755
1994-03-01,75.46923582327899
1994-04-01,75.516196587257
1994-05-01,75.776029238113
1994-06-01,76.052525659332
1994-07-01,76.396849527504
1994-08-01,76.584670056262
1994-09-01,76.688033955097
1994-10-01,77.125522417772
1994-11-01,77.566048790526
1994-12-01,78.041338655418
1995-01-01,78.231603212849
1995-02-01,78.54116378763601
1995-03-01,78.584716426849
1995-04-01,78.607851531642
1995-05-01,78.575218847916
1995-06-01,78.62682649937601
1995-07-01,78.930835539235
1995-08-01,79.322915103674
1995-09-01,79.676282844328
1995-10-01,79.984545382408
1995-11-01,80.167626660757
1995-12-01,80.473035734334
1996-01-01,80.800898799618
1996-02-01,81.275726084195
1996-03-01,81.383540297593
1996-04-01,81.664430496898
1996-05-01,81.822756822197
1996-06-01,82.073952435218
1996-07-01,82.088891615819
1996-08-01,82.406590227249
1996-09-01,82.736363715776
1996-10-01,83.040015122062
1996-11-01,83.324704973602
1996-12-01,83.424442199696
1997-01-01,83.701866383279
1997-02-01,83.870200842099
1997-03-01,84.092307522165
1997-04-01,84.515631135222
1997-05-01,84.960142754748
1997-06-01,85.13120331399999
1997-07-01,85.35477905306699
1997-08-01,85.551659871377
1997-09-01,86.086681397785
1997-10-01,86.43462937184
1997-11-01,86.895574120933
1997-12-01,87.194457606124
1998-01-01,87.62659138649299
1998-02-01,87.988288297148
1998-03-01,88.563377400044
1998-04-01,89.166763902225
1998-05-01,89.747880802292
1998-06-01,90.16364849153798
1998-07-01,90.445840367088
1998-08-01,90.764427956425
1998-09-01,91.089414216507
1998-10-01,91.864310116403
1998-11-01,92.50395192318899
1998-12-01,93.07948765358101
1999-01-01,93.590570853755
1999-02-01,94.074089883846
1999-03-01,94.76826523896099
1999-04-01,95.136280615548
1999-05-01,95.788241806351
1999-06-01,96.263071059612
1999-07-01,96.91423636445101
1999-08-01,97.32680750859801
1999-09-01,97.78782320521499
1999-10-01,98.49603680750499
1999-11-01,99.085128588871
1999-12-01,99.92624994531602
2000-01-01,100.37820661234699
2000-02-01,101.289722103541
2000-03-01,101.675541823789
2000-04-01,102.70314525205099
2000-05-01,103.267302420721
2000-06-01,104.13688551104201
2000-07-01,104.316814960616
2000-08-01,104.70067097772899
2000-09-01,104.778692692826
2000-10-01,105.422361370646
2000-11-01,106.03787752146098
2000-12-01,106.575619204421
2001-01-01,107.07255896442699
2001-02-01,107.431199196728
2001-03-01,107.818068392509
2001-04-01,108.354885515372
2001-05-01,108.64788345526699
2001-06-01,109.306009440375
2001-07-01,109.670454221819
2001-08-01,110.191502593812
2001-09-01,110.669103926247
2001-10-01,111.054376302043
2001-11-01,111.17622322172501
2001-12-01,111.297583126152
2002-01-01,111.669465034412
2002-02-01,112.27862250187599
2002-03-01,112.696573967642
2002-04-01,112.77556925300199
2002-05-01,112.940449369461
2002-06-01,113.253155584641
2002-07-01,113.667499950487
2002-08-01,114.022844965229
2002-09-01,114.169980951061
2002-10-01,114.60005782256799
2002-11-01,114.927040524219
2002-12-01,115.259416489013
2003-01-01,115.654662382154
2003-02-01,115.957190308777
2003-03-01,116.683116568804
2003-04-01,116.601465793125
2003-05-01,116.85559761008999
2003-06-01,116.82156178622499
2003-07-01,117.03678616584801
2003-08-01,117.32148545141001
2003-09-01,117.723572724625
2003-10-01,118.02871243290001
2003-11-01,118.445063637066
2003-12-01,118.69385283013901
2004-01-01,119.296715383267
2004-02-01,119.57427780103998
2004-03-01,120.151489207539
2004-04-01,120.86572678536899
2004-05-01,120.940636052528
2004-06-01,120.89484655878401
2004-07-01,121.29029426491002
2004-08-01,121.72476885946101
2004-09-01,122.24280329482
2004-10-01,122.724434827658
2004-11-01,123.233023451442
2004-12-01,123.94858644153999
2005-01-01,124.63650195194401
2005-02-01,125.444293493254
2005-03-01,126.19051733203301
2005-04-01,127.006781939719
2005-05-01,127.291285131383
2005-06-01,127.815466014671
2005-07-01,127.76428475227199
2005-08-01,127.925543920454
2005-09-01,127.945635805471
2005-10-01,128.846994325901
2005-11-01,129.745794981942
2005-12-01,130.70502775037
2006-01-01,131.708870524481
2006-02-01,132.33706792609502
2006-03-01,132.651970425476
2006-04-01,132.949926807283
2006-05-01,133.024868751555
2006-06-01,133.09852608431498
2006-07-01,133.143372556403
2006-08-01,133.077872831142
2006-09-01,133.042579181802
2006-10-01,133.703773916113
2006-11-01,134.07785176433998
2006-12-01,134.647184453504
2007-01-01,134.98399752096398
2007-02-01,135.605889604188
2007-03-01,135.862757856379
