DATE,MIXRSA
1987-01-01,68.547904803047
1987-02-01,68.919118886508
1987-03-01,69.388051991249
1987-04-01,69.46346089881
1987-05-01,69.746282258685
1987-06-01,69.47376118995999
1987-07-01,69.641667391394
1987-08-01,69.804720549259
1987-09-01,70.567759665368
1987-10-01,71.020230134941
1987-11-01,71.424939302393
1987-12-01,71.458437196466
1988-01-01,71.67894585036
1988-02-01,71.827968544959
1988-03-01,72.345565907163
1988-04-01,72.718773914751
1988-05-01,73.102562089518
1988-06-01,73.71199915695699
1988-07-01,74.107818359332
1988-08-01,74.682316064153
1988-09-01,75.248978814323
1988-10-01,75.59607437572
1988-11-01,75.959227661067
1988-12-01,76.219005425927
1989-01-01,76.582983197241
1989-02-01,76.993996162073
1989-03-01,77.175580516431
1989-04-01,77.548665456198
1989-05-01,77.567304584092
1989-06-01,77.80834046888
1989-07-01,78.042408857569
1989-08-01,78.259921135432
1989-09-01,78.250320730112
1989-10-01,78.378224437159
1989-11-01,78.323958458831
1989-12-01,78.722797677161
1990-01-01,79.16609822342801
1990-02-01,79.66911513910999
1990-03-01,79.534698139609
1990-04-01,79.443802154379
1990-05-01,79.681575650723
1990-06-01,79.857221946048
1990-07-01,80.033313589206
1990-08-01,79.868441523269
1990-09-01,79.67445535214401
1990-10-01,79.43833552411199
1990-11-01,79.547592872743
1990-12-01,79.35179117356
1991-01-01,79.02378863578801
1991-02-01,78.721980176152
1991-03-01,78.72800018765099
1991-04-01,78.74181305470199
1991-05-01,78.238096012113
1991-06-01,78.52127945349
1991-07-01,78.6332319141
1991-08-01,79.385426856438
1991-09-01,79.067008123378
1991-10-01,79.09975734969301
1991-11-01,79.069901347271
1991-12-01,78.982072753502
1992-01-01,79.025436628434
1992-02-01,78.658817060561
1992-03-01,78.933361509623
1992-04-01,79.167248711238
1992-05-01,79.659299421176
1992-06-01,79.78796918993
1992-07-01,78.059150215419
1992-08-01,77.81968672149901
1992-09-01,77.458638579251
1992-10-01,79.334934722585
1992-11-01,79.50046883335999
1992-12-01,79.846259109272
1993-01-01,79.851250909066
1993-02-01,80.042719874804
1993-03-01,80.019726147497
1993-04-01,80.330492467144
1993-05-01,80.957980497886
1993-06-01,81.348781338838
1993-07-01,81.797619900499
1993-08-01,82.02720255203499
1993-09-01,82.354517276373
1993-10-01,82.614146899021
1993-11-01,82.47747675774
1993-12-01,82.714224244342
1994-01-01,83.360830722896
1994-02-01,84.349337595675
1994-03-01,85.173859406306
1994-04-01,85.07472852640899
1994-05-01,85.060853529024
1994-06-01,85.288668321752
1994-07-01,85.646545472114
1994-08-01,85.998049958335
1994-09-01,86.164271269212
1994-10-01,86.257396191721
1994-11-01,86.516800825641
1994-12-01,86.835601051644
1995-01-01,86.91998549985901
1995-02-01,86.712294498447
1995-03-01,86.753908126271
1995-04-01,86.70807023847
1995-05-01,86.81621634773501
1995-06-01,86.962121064988
1995-07-01,86.95428484167499
1995-08-01,87.264412474604
1995-09-01,87.237140468264
1995-10-01,87.446396247115
1995-11-01,87.39193944098601
1995-12-01,87.515044955295
1996-01-01,87.43319378104799
1996-02-01,87.51813098096201
1996-03-01,87.162700558198
1996-04-01,87.34445875340201
1996-05-01,87.467333960221
1996-06-01,87.57438437641399
1996-07-01,87.825504422509
1996-08-01,87.842676527729
1996-09-01,87.983185592311
1996-10-01,87.943393954764
1996-11-01,88.11118231069901
1996-12-01,87.99853058291401
1997-01-01,88.05623136517401
1997-02-01,88.067212479785
1997-03-01,88.34070980370701
1997-04-01,88.551713071707
1997-05-01,88.666294784211
1997-06-01,88.750442310851
1997-07-01,88.806387174102
1997-08-01,88.887840758857
1997-09-01,89.17145214370301
1997-10-01,89.59253672356701
1997-11-01,89.908230205352
1997-12-01,90.325759440473
1998-01-01,90.72545794272
1998-02-01,91.055609157651
1998-03-01,91.13743992963
1998-04-01,91.226827344466
1998-05-01,91.44620754471701
1998-06-01,92.032941065441
